run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
55,-1346.3,-698.5,29,11,52,25.8,215.0,18.9,2.3,27.0,77,0,0,27,87.6,46.6,0.0
56,-460.5,-1055.6,16,28,197,18.1,5.9,3.5,8.5,8.1,40,5,2,39,94.5,45.9,0.0
57,-1530.8,516.1,6,22,229,3.9,357.8,25.3,38.7,38.6,10,0,0,17,51.0,95.9,0.2
58,-883.4,-1896.6,37,23,52,14.0,171.0,15.1,3.8,18.8,65,0,0,31,82.9,89.5,0.0
59,-1811.1,-1808.5,25,36,111,19.9,240.4,19.3,19.7,21.3,21,4,2,16,36.4,32.4,0.0
60,-891.7,-1679.6,31,25,328,0.4,73.1,17.9,32.3,18.4,70,0,0,4,73.9,76.1,0.0
61,-206.0,1400.2,16,20,341,15.1,41.6,3.3,34.2,9.8,14,3,2,21,71.0,90.5,0.0
62,-346.8,83.2,1,10,313,14.5,347.5,5.1,12.6,33.5,45,4,0,35,71.1,38.1,3419.1
63,-953.7,1146.2,26,3,266,23.8,140.3,27.2,17.9,8.1,15,3,1,17,41.3,68.3,0.0
64,680.8,-150.0,12,43,253,29.4,228.7,15.7,21.6,27.4,33,2,0,4,61.5,66.7,245.1
65,-280.8,-1738.3,33,8,36,21.6,5.7,38.3,13.2,4.1,1,2,1,8,78.0,90.0,0.0
66,-470.0,-71.0,18,16,276,2.9,264.0,32.7,13.2,4.5,83,2,0,32,81.4,95.7,0.0
67,-278.7,-1865.6,6,8,119,29.8,164.3,34.7,15.0,26.6,91,1,0,13,64.8,78.7,0.0
68,-53.0,473.8,18,30,260,0.5,309.8,4.9,24.3,12.6,30,3,2,27,90.0,94.6,0.0
69,-509.6,-533.8,32,45,317,6.1,213.7,34.7,2.9,11.7,92,2,0,18,73.8,50.3,0.0
70,-1583.5,-662.3,38,38,66,22.1,41.3,23.8,20.4,8.0,28,1,0,10,70.0,77.2,0.0
71,1470.3,1532.8,29,24,250,24.6,323.5,11.2,20.3,30.6,9,4,2,14,86.1,33.9,0.0
72,-1548.2,1159.6,29,26,79,8.8,83.3,8.3,29.2,31.9,70,5,2,13,41.8,97.6,0.0
73,-322.2,1426.8,39,21,9,16.0,24.3,19.2,11.9,33.4,1,2,1,21,46.3,56.8,0.0
74,-1306.0,1311.6,33,34,10,13.8,143.4,2.3,31.8,24.5,29,5,0,11,45.7,38.3,0.0
75,-129.5,1318.8,9,12,108,11.9,351.7,6.3,9.1,8.8,100,1,0,26,76.2,68.7,3253.9
76,-573.6,-1899.7,35,8,59,13.9,8.1,28.7,34.8,16.4,40,2,0,28,30.8,50.2,0.0
77,-24.7,362.4,37,4,177,16.4,346.6,38.8,15.3,6.9,3,1,0,5,93.8,63.6,0.0
78,-231.9,289.1,15,22,334,7.3,211.8,27.4,16.5,5.3,62,4,1,31,50.1,85.7,0.2
79,697.1,-1371.7,30,28,108,24.8,152.8,36.4,37.1,13.7,69,2,1,39,32.2,70.8,0.0
80,-782.1,-628.1,1,9,335,30.8,180.1,13.3,7.3,8.2,21,5,0,32,65.7,91.3,0.2
81,-885.3,1078.8,11,20,169,2.6,80.4,14.2,30.4,26.8,67,4,0,8,42.0,80.2,0.2
82,-1159.8,-1589.4,28,18,291,9.4,76.3,29.7,39.6,34.7,38,5,1,3,70.1,60.4,0.0
83,1816.6,-1901.1,6,9,221,14.0,0.3,32.5,16.4,37.1,36,5,2,2,80.9,89.2,0.0
84,-1420.3,1047.3,1,42,265,13.1,333.9,18.1,32.2,20.7,99,2,0,17,35.4,46.6,0.2
85,809.0,-1054.1,33,45,2,1.5,101.4,16.3,11.9,29.5,45,5,1,4,36.4,65.8,0.0
86,-307.9,-1220.7,30,40,269,17.3,330.2,22.5,5.1,31.0,41,0,0,34,31.6,98.5,0.0
